Indicativo;NOMBRE;PROVINCIA;MUNICIPIO;ALTITUD;LONGITUD;LATITUD;DATUM
1387;A CORUÑA;A CORUÑA;A CORUÑA;58;825172;432157;ETRS89
1387E;A CORUÑA/ALVEDRO;A CORUÑA;CULLEREDO;98;822192;431825;ETRS89
1428;SANTIAGO DE COMPOSTELA/LABACOLLA;A CORUÑA;O PINO;370;824382;425317;ETRS89
8175;ALBACETE/LOS LLANOS;ALBACETE;ALBACETE;702;151232;385715;ETRS89
8178D;ALBACETE,OBS.;ALBACETE;ALBACETE;674;151462;390021;ETRS89
8025;ALICANTE;ALICANTE;ALICANTE/ALACANT;81;29392;382221;ETRS89
8019;ALICANTE-ELCHE/AEROPUERTO;ALICANTE;ELCHE/ELX;43;34152;381658;ETRS89
6325O;ALMERÍA/AEROPUERTO;ALMERIA;ALMERÍA;21;221252;365047;ETRS89
9091O;FORONDA-TXOKIZA;ARABA/ALAVA;VITORIA-GASTEIZ;513;244062;425255;ETRS89
1212E;ASTURIAS/AVILÉS;ASTURIAS;CASTRILLÓN;127;602392;433401;ETRS89
1208H;GIJÓN, MUSEL;ASTURIAS;GIJÓN;5;542032;433336;ETRS89
1249I;OVIEDO;ASTURIAS;OVIEDO;336;552272;432112;ETRS89
2444;ÁVILA;AVILA;ÁVILA;1130;440482;403933;ETRS89
4452;BADAJOZ/TALAVERA LA REAL;BADAJOZ;BADAJOZ;185;648502;385300;ETRS89
B954;IBIZA/ES CODOLÁ;BALEARES;SANT JOSEP DE SA TALAIA;6;123041;385235;ETRS89
B893;MENORCA/AEROPUERTO;BALEARES;MAHÓN;91;412561;395117;ETRS89
B278;PALMA DE MALLORCA/SON SAN JUAN;BALEARES;PALMA;8;244121;393339;ETRS89
B228;PALMA-PUERTO;BALEARES;PALMA;3;237311;393319;ETRS89
0200E;BARCELONA (FABRA);BARCELONA;BARCELONA;408;207271;412506;ETRS89
76;BARCELONA/AEROPUERTO;BARCELONA;EL PRAT DE LLOBREGAT;4;204121;411734;ETRS89
1082;BILBAO/AEROPUERTO;BIZKAIA;LOIU;42;254232;431753;ETRS89
2331;BURGOS/VILLAFRÍA;BURGOS;BURGOS;891;337132;422125;ETRS89
3469A;CÁCERES;CACERES;CÁCERES;394;620202;392817;ETRS89
5973;CÁDIZ, OBS.;CADIZ;CÁDIZ;2;615282;362959;ETRS89
5960;JEREZ DE LA FRONTERA/AEROPUERTO;CADIZ;JEREZ DE LA FRONTERA;27;603212;364502;ETRS89
