Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14;11;14;14;15;12;;13;14;10;19;14;
1387E;12;13;15;15;14;12;13;13;14;11;;15;
1428;9;10;11;12;12;11;11;11;11;10;15;12;11
8175;;;;;;16;16;12;14;12;20;16;
8178D;5;4;5;6;5;6;6;4;4;4;7;5;5
8025;7;7;8;9;9;9;9;8;8;6;9;7;8
8019;14;14;;;14;14;16;;13;11;19;13;
6325O;15;18;18;19;16;17;17;14;16;13;;16;
9091O;12;9;13;13;13;12;14;14;12;;14;12;
1212E;16;;15;14;15;;;10;13;12;;16;
1249I;;7;;;8;8;;;;;;;
2444;11;10;11;12;13;13;11;11;10;9;15;11;11
4452;8;8;11;12;13;12;11;10;9;7;12;9;10
B954;13;13;14;19;15;16;16;14;14;12;21;17;15
B893;19;16;19;19;21;19;15;17;18;15;19;17;18
B228;6;5;8;10;8;9;9;9;8;6;6;6;8
B278;12;11;15;20;16;17;18;17;16;12;16;;
0200E;20;12;14;17;15;14;12;12;15;14;16;16;15
0076;15;15;17;20;16;19;15;16;17;16;15;17;17
1082;11;11;12;12;14;13;12;11;10;10;13;13;12
2331;17;13;17;17;19;18;18;16;18;13;19;17;17
3469A;9;8;9;12;12;12;11;9;9;9;15;11;11
5973;12;20;19;16;21;16;14;;14;12;14;;
5960;10;11;14;;15;15;;12;11;;13;;
5910;11;16;18;18;20;19;16;15;13;12;15;13;16
6001;18;;27;;26;;;24;20;19;19;;
1111;18;13;15;;17;13;12;11;12;13;22;17;
8500A;9;8;8;11;9;9;8;8;8;7;10;8;9
5000C;11;14;14;11;13;10;9;10;9;;12;11;
4121;6;6;9;9;9;9;8;8;8;6;9;8;8
5402;9;6;;;11;13;13;;9;8;10;10;
8096;5;6;7;7;7;9;9;7;6;6;7;6;7
1014;11;10;11;12;12;11;10;9;10;10;15;12;11
1024E;16;19;15;14;15;13;12;10;12;17;22;20;15
0367;8;;11;;13;;14;;10;10;9;9;
5530E;6;7;9;;11;11;11;9;7;6;8;6;
5514;9;;;12;13;;;;;;;;
3013;7;5;7;9;8;8;7;7;6;6;10;8;7
4642E;9;9;12;14;15;16;16;14;13;11;12;11;13
9898;7;8;8;10;9;12;11;8;7;8;8;7;9
5270B;8;8;10;9;10;11;;9;;7;11;;
9170;13;10;11;12;11;;11;10;9;9;10;11;
C249I;;18;22;;;22;;25;22;20;27;;
C649I;;16;24;22;30;26;35;33;29;22;25;;
C029O;18;16;22;25;27;;32;33;23;21;;18;
2661;11;9;14;16;13;;11;12;12;12;18;12;
1549;5;4;6;8;8;7;7;7;6;;7;4;
9771C;10;7;9;11;11;11;9;8;7;7;11;9;9
1505;;6;9;9;8;7;7;7;9;6;9;8;
3129;11;9;11;14;14;15;13;12;11;9;18;11;12
3196;10;8;12;14;13;15;11;12;10;9;17;12;12
3195;6;5;8;8;8;9;7;7;8;5;10;7;7
2462;14;15;13;14;11;16;12;11;13;13;18;17;14
6155A;17;16;;14;17;16;15;15;13;14;18;15;
6000A;12;12;14;12;13;13;13;12;10;10;13;13;12
7178I;8;10;9;10;10;11;12;10;9;7;10;7;9
9263D;16;9;15;13;17;13;16;14;14;11;12;11;13
1690A;3;4;5;5;5;5;5;5;5;4;5;4;5
1484C;7;7;10;10;10;10;9;9;9;7;;9;
1495;12;12;13;14;15;14;13;13;12;12;13;14;13
2867;;8;13;16;16;15;12;10;11;11;21;16;
2870;7;5;7;9;8;;;7;6;6;11;8;
C929I;22;23;26;;25;22;;24;23;;27;;
C430E;24;;20;28;21;25;20;20;26;24;30;34;
C139E;16;16;20;;22;;26;23;19;16;;17;
C449C;11;10;11;12;12;11;;11;11;9;10;10;
C447A;18;17;;24;24;21;31;24;22;17;;17;
C429I;21;20;24;18;21;20;27;28;24;22;28;20;23
2465;9;9;10;12;11;14;12;10;9;9;16;12;11
5796;7;5;8;9;9;8;9;6;6;5;9;9;8
5783;10;10;13;13;15;15;;13;11;10;13;14;
2030;10;7;10;11;12;10;9;8;10;8;13;10;10
0016A;16;10;13;16;14;13;13;12;12;11;17;14;13
9981A;15;10;10;11;13;11;12;10;;9;12;11;
9381I;7;8;9;10;9;11;9;8;8;7;9;8;9
8368U;7;7;7;8;8;8;7;7;6;5;8;7;7
3260B;10;11;12;;14;14;13;13;;9;15;11;
8414A;14;13;13;17;16;15;15;15;14;11;19;13;15
2422;7;5;7;9;8;9;7;7;7;6;10;8;8
2539;;11;17;17;17;16;15;13;16;12;23;18;
2614;5;5;8;8;9;8;8;7;9;6;8;7;7
9390;6;5;6;7;8;7;7;7;6;5;8;7;7
9434;25;15;18;18;25;18;18;15;17;13;19;14;18
