Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;78;76;76;80;73;78;78;80;76;77;77;78;77
1387E;79;77;75;79;;76;72;78;76;79;80;81;
1428;88;86;80;;73;80;66;78;74;88;84;90;
8175;81;73;71;69;56;39;40;36;52;60;80;79;61
8178D;76;66;69;64;55;45;49;44;52;57;73;71;60
8025;69;66;62;65;54;57;57;61;57;57;73;55;61
8019;;71;;;60;62;;;60;59;75;57;
6325O;74;74;67;;;;57;63;63;65;73;;
9091O;86;79;80;78;69;71;66;66;68;80;82;84;76
1212E;75;73;;83;81;85;86;84;87;81;;;
1208H;72;73;73;78;76;75;74;74;76;74;;77;
1249I;74;70;75;78;73;79;78;77;79;76;78;79;76
2444;72;64;67;74;54;45;32;40;49;66;77;80;60
4452;81;75;67;71;54;44;33;39;45;59;81;84;61
B954;75;76;67;73;;63;66;69;68;;78;69;
B893;83;81;;76;65;62;56;64;66;;79;79;
B278;79;77;70;;62;61;55;63;64;67;76;;
B228;;;65;;;;;67;;;73;69;
0200E;69;72;70;74;67;72;62;65;64;65;;68;
0076;73;76;70;;68;69;;67;68;67;;68;
1082;;71;75;73;70;75;72;72;69;;;74;
2331;86;75;75;81;64;63;53;53;59;76;81;86;71
3469A;83;79;69;76;57;42;28;35;44;60;84;82;62
5973;80;77;;73;65;67;66;69;67;68;78;79;
5960;80;;;72;59;56;;53;;;;;
5910;79;74;71;71;61;61;58;61;61;66;78;80;68
6001;80;85;;;;;;81;80;78;;84;
1111;72;79;81;80;82;81;;78;78;76;78;76;
1109;;75;;;74;;73;72;72;72;;74;
8500A;70;65;64;70;55;;58;60;55;55;77;57;
5000C;73;78;75;81;71;63;78;66;76;74;80;75;74
4121;81;74;66;69;50;35;29;33;45;57;81;;
5402;77;68;66;;50;;31;;45;;78;82;
8096;71;63;68;68;52;41;36;36;47;59;;75;
1014;72;74;75;71;71;74;71;71;72;75;74;76;73
1024E;74;75;80;76;80;85;82;81;77;;69;76;
0367;80;79;78;78;65;;;64;;;81;76;
5530E;75;67;63;69;49;40;33;35;;57;73;81;
5514;72;62;61;70;45;36;31;30;44;51;69;76;54
3013;76;65;70;75;61;54;44;46;56;67;75;;
4642E;77;71;69;74;63;54;50;48;55;61;79;78;65
9898;89;74;73;73;64;57;44;42;49;;79;81;
5270B;74;62;59;66;47;;29;;;50;68;78;
9170;84;;70;76;;60;49;54;55;70;83;81;
C249I;62;69;69;67;68;68;70;68;;;69;68;
C649I;54;54;;;;65;;;65;67;64;68;
C029O;59;58;65;;64;;67;;67;65;;70;
2661;;71;60;72;57;52;39;;56;73;82;86;
1549;;;61;67;;56;44;;54;73;;85;
9771C;89;74;66;67;59;56;46;48;54;63;84;82;66
1505;84;77;79;80;70;74;72;73;76;83;86;;
3191E;77;;69;76;60;47;36;41;49;65;80;77;
3129;75;70;;70;50;36;27;33;46;63;82;75;
3196;;;;69;49;37;30;;47;;;;
3200;76;71;66;68;51;39;29;34;44;;81;77;
3195;66;60;;57;46;;33;;;;79;74;
3175;80;75;67;;54;41;31;;48;66;84;79;
2462;;66;83;92;66;62;37;;61;82;77;95;
6155A;72;71;;71;61;;63;54;62;;80;71;
6000A;67;73;;76;66;58;71;61;69;;;73;
7178I;71;65;62;67;52;48;51;47;;51;71;55;
7228;74;67;64;66;51;47;50;46;54;54;73;59;59
9263D;;74;;;;;58;;59;;80;;
1690A;82;72;67;74;62;59;48;56;57;73;80;84;68
1484C;80;80;73;80;71;74;60;;68;83;79;88;
1495;;86;81;;;80;;;73;85;82;89;
2867;84;74;72;76;59;50;41;;56;68;78;82;
2870;79;68;68;70;55;53;46;;56;67;74;78;
C929I;62;;73;;72;71;74;;75;;68;;
C430E;;33;;56;;35;;;35;45;;62;
C139E;61;;69;69;;71;73;;;;;;
C449C;57;55;63;60;59;62;;52;61;65;63;68;
C447A;68;57;75;;71;78;73;65;67;77;;86;
C429I;52;50;63;66;63;64;;59;;65;;68;
2465;69;62;65;71;56;46;33;39;47;64;70;82;59
5796;;;62;66;54;50;46;50;44;44;55;72;
5783;77;;63;67;51;;;;;53;;83;
2030;76;;68;78;58;;44;48;;71;76;82;
0016A;74;70;66;70;62;61;51;56;60;60;78;66;65
9981A;73;65;65;74;;62;53;54;56;55;;63;
9381I;75;63;66;;60;54;43;46;53;64;75;74;
8368U;70;59;67;69;57;48;43;45;51;59;73;70;59
3260B;79;75;65;70;51;36;29;34;45;58;82;79;59
8414A;74;69;67;71;57;57;60;58;57;56;78;58;64
2422;88;74;66;75;58;;40;44;52;68;80;82;
2539;;78;71;79;62;54;41;46;53;71;81;;
2614;87;75;68;75;55;49;39;45;52;67;85;;
9390;76;64;67;70;58;54;43;45;52;62;74;72;61
9434;82;67;64;64;;49;42;43;49;;;74;
