Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;119.3;47.1;114.0;73.0;8.4;39.4;1.4;108.0;39.0;123.0;65.1;218.8;956.5
1387E;118.5;32.6;110.7;69.6;6.4;;3.4;93.9;;120.0;52.4;226.9;
1428;234.3;91.5;148.9;166.7;43.9;42.9;0.4;118.1;31.8;167.7;173.7;304.1;1524.0
8175;46.8;0.0;106.4;27.6;51.1;2.8;18.8;12.6;17.6;31.2;60.4;24.2;399.5
8178D;42.0;0.1;124.1;47.2;61.1;3.2;26.1;6.0;16.5;32.3;62.1;18.7;439.4
8025;37.0;1.2;71.8;36.2;32.4;11.6;0.0;13.2;3.4;3.4;9.8;1.6;221.6
8019;58.8;2.1;88.6;32.6;36.3;20.5;0.0;29.4;3.4;1.1;27.6;1.5;301.9
6325O;21.4;0.0;27.3;28.9;1.9;0.7;0.7;0.7;8.3;1.1;8.0;0.0;99.0
9091O;29.4;8.5;76.5;64.2;110.7;48.0;8.7;38.6;70.2;119.3;29.6;172.6;776.3
1212E;68.7;29.8;113.4;38.0;46.8;67.1;17.0;107.9;95.9;237.4;32.9;396.9;1251.8
1208H;80.4;22.0;102.9;46.6;36.8;59.4;19.4;125.2;72.7;195.8;24.2;382.9;1168.3
1249I;55.1;24.4;100.3;89.1;91.1;79.5;15.0;105.3;49.6;148.9;24.9;261.3;1044.5
2444;11.6;1.8;31.8;84.2;37.2;2.6;7.2;12.4;54.1;67.4;76.4;43.6;430.3
4452;26.0;1.8;65.8;83.4;44.0;0.0;3.8;0.0;15.4;48.2;83.4;46.4;418.2
B954;51.5;0.1;12.6;65.3;16.7;7.8;1.1;8.0;68.6;7.0;11.7;16.9;267.3
B893;117.1;1.1;24.6;55.9;14.5;8.0;3.3;7.6;42.2;53.6;18.8;65.8;412.5
B278;96.6;0.0;25.6;92.3;15.5;21.1;2.2;17.2;37.0;19.8;24.7;38.1;390.1
B228;66.6;0.1;39.3;81.3;17.5;19.7;0.2;24.6;78.1;17.7;35.5;56.6;437.2
0200E;89.3;2.8;61.6;258.7;29.2;69.1;23.1;12.4;60.2;23.1;52.5;41.5;723.5
0076;173.8;1.1;54.5;263.5;21.6;53.7;111.2;22.5;153.0;81.2;51.0;25.4;1012.5
1082;47.5;38.3;151.2;47.1;46.8;90.4;27.9;57.1;76.9;194.8;42.6;293.5;1114.1
2331;25.5;4.0;51.6;106.4;48.6;64.4;16.2;29.2;51.2;85.2;14.2;43.6;540.1
3469A;33.8;0.2;67.2;120.2;45.4;1.2;9.6;0.0;26.0;94.8;87.8;32.2;518.4
5973;85.0;3.9;126.0;42.3;85.7;3.1;0.0;1.2;6.2;56.3;170.9;49.3;629.9
5960;75.2;3.2;87.4;62.0;69.4;11.9;0.1;0.4;8.3;37.5;103.3;33.0;491.7
5910;88.8;1.5;125.5;109.9;73.6;8.8;0.0;0.5;6.3;30.2;177.6;41.1;663.8
6001;49.4;6.1;;;;13.6;0.0;0.1;0.1;;41.5;50.0;
1111;27.2;43.0;88.4;68.8;43.6;75.8;12.6;85.6;113.2;236.5;34.7;452.7;1282.1
1109;36.4;37.4;119.3;88.9;39.9;90.7;14.4;81.4;116.7;271.9;32.7;461.5;1391.2
8500A;67.0;0.0;205.4;55.0;35.8;52.6;2.6;15.0;27.4;3.6;117.6;3.6;585.6
5000C;72.0;0.4;145.4;68.6;77.0;70.0;0.0;0.4;3.3;36.8;55.8;136.0;665.7
4121;23.0;1.7;63.8;50.1;32.1;0.8;5.0;28.4;30.9;20.6;64.5;28.4;349.3
5402;44.9;0.7;49.8;68.9;22.2;0.0;1.2;58.6;15.1;49.0;101.9;36.3;448.6
8096;28.6;1.0;100.4;66.2;85.0;17.0;18.8;31.2;44.8;21.6;56.4;54.3;525.3
1014;69.2;87.0;173.7;114.7;176.9;154.5;33.1;131.1;145.8;326.5;64.4;513.6;1990.5
1024E;52.9;91.6;196.7;97.7;134.1;123.2;70.5;130.5;140.1;261.5;86.6;394.8;1780.2
0367;240.7;6.7;79.9;173.0;36.6;145.8;69.7;27.9;73.2;45.9;148.9;5.8;1054.1
5530E;32.8;1.2;28.9;47.7;54.5;8.8;0.0;0.7;12.2;28.6;63.3;33.1;311.8
5514;36.0;0.6;41.0;69.0;45.0;18.5;0.6;0.1;3.6;24.5;65.3;29.3;333.5
3013;49.8;0.8;95.8;72.8;105.2;33.8;16.8;23.6;36.8;22.8;15.8;38.6;512.6
4642E;67.6;0.2;58.0;65.4;58.8;1.2;0.0;0.0;18.4;43.6;196.0;17.8;527.0
9898;90.2;0.0;76.8;61.8;87.6;39.8;2.8;1.4;9.0;33.2;29.6;52.4;484.6
5270B;38.4;7.4;59.2;61.4;70.6;0.0;0.2;0.8;4.8;33.6;69.6;45.8;391.8
9170;30.4;2.6;102.3;68.2;;56.9;8.1;32.9;14.4;27.7;31.8;60.6;
C249I;1.6;0.0;12.7;5.6;0.0;0.0;0.4;0.0;0.8;2.6;14.7;3.6;42.0
C649I;2.0;1.1;15.8;7.7;0.6;0.9;0.0;0.4;1.8;4.4;17.8;10.8;63.3
C029O;0.5;0.0;11.7;14.1;0.0;0.3;0.0;0.0;0.0;3.1;32.7;4.8;67.2
2661;23.7;7.7;29.8;73.1;45.1;6.6;8.0;40.3;38.6;79.7;51.6;32.7;436.9
1549;45.0;13.7;45.5;57.8;33.0;25.4;2.6;48.8;30.4;80.4;21.6;116.4;520.6
9771C;85.4;0.6;35.8;75.2;86.2;71.5;0.9;19.3;4.8;13.9;75.6;27.7;496.9
1505;110.6;51.8;133.4;79.8;34.6;32.8;0.4;76.9;46.8;136.2;94.8;258.3;1056.4
3191E;35.7;1.1;78.4;80.6;69.4;7.9;5.9;21.8;59.9;97.1;73.5;34.0;565.3
3129;12.4;0.1;66.1;71.6;54.0;14.5;3.0;18.7;71.7;39.8;59.6;14.3;425.8
3196;13.4;0.0;41.3;73.1;35.6;2.8;5.8;24.8;40.1;46.1;54.0;19.3;356.3
3200;14.4;0.0;51.6;62.8;31.1;3.6;1.8;20.1;41.3;45.4;48.8;23.9;344.8
3195;16.4;0.0;57.3;69.8;94.6;8.4;6.0;28.5;54.0;59.2;60.6;19.6;474.4
3175;20.3;0.0;66.0;86.6;37.4;18.2;5.5;19.2;48.3;36.6;51.5;12.2;401.8
2462;163.7;11.7;189.2;186.0;110.5;45.6;6.1;49.6;144.3;236.3;166.7;301.3;1611.0
6155A;142.0;2.2;149.3;26.7;31.8;1.4;0.2;0.9;7.9;25.8;66.8;5.2;460.2
6000A;14.6;0.0;18.0;58.6;29.0;1.6;1.4;0.4;3.6;3.0;10.2;55.4;195.8
7178I;70.6;0.7;122.2;29.2;25.2;11.4;3.2;1.2;5.6;2.4;34.4;0.6;306.7
7228;80.5;2.1;138.6;35.6;23.0;24.4;4.7;3.7;5.9;2.6;20.7;1.6;343.4
7031;81.8;1.0;123.7;45.2;18.6;19.0;1.5;10.1;2.5;1.0;5.0;0.2;309.6
9262;39.2;7.7;;;;;;79.4;47.8;80.2;27.0;187.7;
9263D;37.3;7.9;103.4;92.2;54.4;79.3;6.9;68.0;47.6;65.3;23.7;139.0;725.0
1690A;65.8;18.4;90.4;88.8;71.4;22.2;0.8;37.4;45.2;89.6;48.2;129.8;708.0
1484C;222.0;96.6;125.4;240.4;41.8;41.8;0.0;92.1;57.8;190.4;106.0;454.2;1668.5
1495;182.9;79.4;128.4;237.1;45.4;36.3;0.0;65.4;89.3;142.1;109.2;471.2;1586.7
2867;16.2;2.5;43.9;84.6;38.5;7.6;5.0;3.5;28.7;52.8;25.0;35.7;344.0
2870;12.9;2.9;38.6;70.8;35.2;5.1;2.6;2.0;;63.2;23.6;43.3;
C929I;1.1;0.3;7.6;9.2;0.6;9.3;0.0;0.0;4.0;11.6;29.9;36.5;110.1
C430E;3.0;0.4;61.0;14.6;0.2;10.2;0.0;0.0;7.0;25.4;82.3;13.6;217.7
C139E;5.3;0.6;6.3;11.5;0.1;12.7;0.0;0.0;1.9;60.6;37.0;53.2;189.2
C449C;2.0;0.0;32.4;5.8;0.0;0.4;0.0;0.2;0.6;19.9;55.2;18.0;134.5
C447A;5.0;1.7;109.3;64.2;5.8;19.9;0.1;1.6;3.5;62.3;88.1;36.5;398.0
C429I;0.7;0.0;1.1;11.7;0.0;5.8;0.0;0.0;1.1;14.8;14.8;41.7;91.7
2465;20.2;1.4;27.2;61.3;59.2;23.2;50.0;25.7;66.6;44.2;26.6;72.0;477.6
5796;60.7;2.0;72.6;63.9;34.5;0.0;1.7;0.0;6.4;25.7;66.1;37.4;371.0
5783;52.6;0.7;58.8;72.4;54.3;1.2;0.9;1.0;11.5;39.6;77.3;22.5;392.8
2030;18.4;0.6;98.6;129.0;25.2;50.2;30.6;16.4;21.8;54.8;36.4;54.4;536.4
0016A;98.8;0.9;57.9;101.6;46.0;52.9;0.9;51.9;28.5;9.2;46.3;5.4;500.3
9981A;241.2;0.4;55.4;108.2;69.4;80.8;1.8;4.8;8.4;5.6;156.6;13.8;746.4
9381I;65.7;0.2;74.6;102.6;101.8;64.0;28.0;17.8;26.4;11.6;27.2;26.4;546.3
8368U;25.2;0.0;105.0;71.6;38.2;22.6;15.8;27.6;6.2;10.0;60.4;22.4;405.0
3260B;29.0;1.0;47.8;65.8;30.0;7.4;6.0;16.0;19.0;20.4;29.6;35.4;307.4
8416;139.3;1.6;53.4;49.9;24.0;38.1;10.6;4.4;18.9;6.1;250.1;4.4;600.8
8414A;101.1;1.4;74.9;56.3;45.7;27.4;14.1;1.7;11.1;5.8;198.8;5.9;544.2
2422;25.0;2.4;34.4;113.6;54.6;21.4;15.4;10.6;42.6;64.4;27.8;30.2;442.4
2539;20.3;5.0;36.9;88.1;34.0;19.9;28.3;14.9;39.0;81.4;26.4;28.8;423.0
2614;16.0;4.2;48.4;92.2;16.8;16.2;10.4;11.0;23.8;66.8;26.8;29.6;362.2
9390;80.2;0.2;77.2;97.8;49.7;55.0;29.2;20.4;17.8;23.0;26.7;29.6;506.8
9434;62.8;0.6;71.2;35.4;61.4;46.6;5.4;1.2;32.4;18.4;38.8;26.0;400.2
