Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14.1;16.1;15.1;17.3;21.0;20.3;22.7;23.1;23.0;18.7;17.8;13.7;18.6
1387E;13.7;15.8;15.0;17.3;21.9;20.1;24.2;23.5;23.7;18.2;17.2;13.2;18.7
1428;11.5;14.5;15.0;16.2;22.8;20.8;27.6;24.8;24.4;17.0;16.4;11.7;18.6
8175;11.8;17.0;15.5;18.4;24.7;29.7;35.2;34.4;27.7;20.8;17.3;11.6;22.0
8178D;12.5;17.8;15.9;19.0;25.2;29.7;35.2;34.3;27.9;21.2;17.9;12.3;22.4
8025;17.1;20.8;19.7;21.1;26.2;28.5;31.4;32.0;29.0;25.2;21.7;18.5;24.3
8019;16.5;20.2;19.3;20.4;25.8;28.2;31.3;32.1;28.6;24.9;21.3;18.0;23.9
6325O;16.8;19.2;20.2;;26.9;26.6;33.2;31.6;29.2;23.7;21.8;18.4;
9091O;9.9;15.3;14.6;18.1;22.9;23.2;27.1;28.0;24.7;17.0;15.0;9.6;18.8
1212E;14.0;16.2;14.4;16.7;20.0;19.7;21.5;22.9;21.7;18.5;;;
1208H;14.9;16.3;15.4;17.2;20.4;20.8;22.9;23.8;22.3;19.5;18.2;14.5;18.9
1249I;12.8;16.6;14.7;17.3;21.6;20.8;23.5;23.9;22.4;17.9;16.6;11.8;18.3
2444;9.6;15.0;12.7;14.8;22.5;25.2;31.8;28.3;23.7;16.5;14.1;8.3;18.5
4452;14.8;19.6;20.0;21.3;28.8;30.8;38.4;35.0;31.5;24.1;19.3;14.2;24.8
B954;15.7;17.1;17.7;18.8;;26.8;30.1;31.1;27.6;23.5;21.1;16.8;
B893;15.8;17.3;17.0;20.2;24.4;26.6;30.3;30.3;27.4;22.2;20.1;15.7;22.3
B278;16.3;17.9;18.4;21.2;26.0;27.8;32.4;31.4;28.2;23.2;21.0;16.6;23.4
B228;16.9;18.5;18.5;21.1;25.0;26.6;31.0;30.6;28.0;23.4;21.3;17.3;23.2
0200E;13.3;16.5;15.9;17.8;23.6;24.0;29.4;29.9;26.1;20.7;17.9;12.4;20.6
0076;14.9;17.1;17.0;18.7;23.7;25.2;28.9;29.8;26.6;22.0;19.0;14.7;21.5
1082;15.0;17.8;16.2;20.3;23.6;22.7;25.9;27.6;26.5;19.8;19.3;13.8;20.7
2331;8.2;13.6;12.8;16.0;21.8;23.3;29.0;27.9;23.6;15.8;13.7;7.9;17.8
3469A;12.5;17.2;17.5;19.0;26.3;29.3;37.1;33.7;29.7;21.9;17.6;12.4;22.9
5973;16.4;19.2;19.1;20.2;24.5;24.9;29.5;28.4;27.5;23.1;21.1;17.2;22.6
5960;16.7;;21.0;22.0;28.4;29.5;;35.0;32.0;25.8;22.5;;
5910;17.0;20.6;20.3;21.0;26.2;26.1;32.0;30.5;29.1;24.4;21.8;17.1;23.8
6001;15.5;16.8;;;;;26.7;26.3;25.2;21.0;19.2;16.4;
1111;14.1;15.8;14.3;17.4;19.6;19.9;22.8;23.8;22.6;18.8;18.2;14.1;18.5
1109;14.5;17.1;;;21.7;21.7;24.4;25.1;24.1;19.5;19.0;14.3;
8500A;15.5;19.3;18.1;20.4;26.0;27.6;31.1;31.4;28.5;23.9;19.3;16.8;23.2
5000C;16.8;18.5;18.6;18.7;23.7;25.7;28.3;29.7;26.5;22.1;19.7;17.5;22.2
4121;11.5;16.8;17.5;19.7;27.5;30.3;37.1;34.0;28.1;20.9;16.3;11.3;22.6
5402;15.5;21.5;21.4;22.3;30.7;33.1;39.8;37.2;32.5;25.6;20.8;15.1;26.3
8096;11.6;17.0;14.7;17.3;24.3;27.7;33.8;32.4;26.1;19.4;16.8;10.5;21.0
1014;14.4;17.4;15.8;20.1;22.5;22.6;25.7;26.9;24.8;19.2;18.9;13.6;20.2
1024E;12.5;15.5;13.6;17.8;20.2;20.0;22.6;24.3;22.6;17.2;16.9;11.7;17.9
0367;14.4;17.9;16.6;19.4;26.3;;;32.5;;;18.7;14.2;
5530E;14.5;20.6;19.4;20.7;28.9;31.6;38.8;36.9;31.2;24.4;20.6;13.7;25.1
5514;14.3;20.1;18.8;19.4;27.3;30.7;37.0;35.6;29.7;23.5;20.1;13.3;24.2
3013;9.4;16.0;13.8;16.6;23.3;25.2;31.7;29.9;24.4;16.8;15.0;9.0;19.3
4642E;16.8;21.5;20.8;21.5;27.4;28.8;33.9;33.8;30.3;25.3;21.3;17.1;24.9
9898;8.3;15.4;14.9;18.4;24.7;27.2;33.3;32.5;27.0;18.7;15.1;9.3;20.4
5270B;12.8;18.8;18.3;19.8;27.4;30.0;37.5;;29.6;22.6;18.6;12.5;
9170;9.8;;15.7;18.2;;26.1;31.3;30.5;26.8;19.3;15.1;10.1;
C249I;20.7;22.4;22.1;23.7;25.1;26.5;28.1;28.5;27.9;;24.4;22.0;
C649I;20.8;23.4;21.9;23.4;;26.2;;;28.4;26.2;24.9;22.0;
C029O;21.4;24.4;23.4;;27.1;;30.1;30.7;30.8;27.6;;22.3;
2661;7.3;13.2;14.3;15.4;22.3;23.4;30.7;26.3;23.9;16.1;13.3;8.0;17.9
1549;10.0;16.5;17.6;18.7;26.4;25.3;33.5;28.7;26.9;17.9;15.9;9.7;20.6
9771C;8.7;17.2;17.4;21.0;27.2;29.0;34.5;33.8;28.4;21.6;15.8;10.6;22.1
1505;11.7;15.7;15.3;17.5;23.5;22.1;25.7;25.3;24.0;17.1;15.6;10.4;18.7
3191E;8.7;13.2;13.2;15.1;;25.9;32.7;29.3;24.1;16.3;13.1;8.1;
3129;11.7;16.5;16.9;19.4;27.1;30.3;36.9;33.5;27.7;19.4;15.2;10.7;22.1
3196;11.4;16.1;;18.7;26.1;29.5;36.1;32.7;27.6;19.7;15.7;10.7;
3200;11.3;16.0;16.4;18.7;26.5;29.5;36.3;33.0;27.7;20.0;15.8;10.9;21.8
3195;10.4;15.2;16.0;18.2;26.0;28.8;35.3;31.8;26.2;18.3;14.3;10.1;20.9
3175;11.2;16.2;16.3;18.9;26.3;29.5;36.4;33.1;27.5;19.7;15.6;10.6;21.8
2462;5.0;9.6;6.4;7.8;15.7;17.9;25.7;22.3;17.1;9.6;9.2;2.3;12.4
6155A;17.4;20.6;20.4;20.9;25.6;;31.2;33.5;28.7;24.2;20.8;18.2;
6000A;17.7;19.0;19.3;;24.2;26.7;29.1;30.9;27.5;23.1;21.5;18.2;
7178I;17.3;22.3;21.1;22.1;28.6;32.0;34.8;36.0;31.0;26.5;22.4;18.7;26.1
7228;16.5;21.7;21.1;22.1;28.8;32.1;34.7;36.1;30.9;26.1;22.1;18.2;25.9
7031;16.1;19.5;19.3;20.1;24.4;27.1;29.1;30.8;28.2;24.0;20.7;18.3;23.1
9262;10.5;15.5;;;;;;29.3;25.2;17.1;15.3;9.2;
9263D;10.4;15.6;;;24.5;;29.9;30.6;26.1;17.7;15.2;9.0;
1690A;12.6;18.9;19.1;20.0;27.6;26.4;34.0;30.3;28.7;20.1;18.0;12.9;22.4
1484C;13.2;16.2;16.8;17.9;23.2;22.0;29.3;24.9;25.2;18.3;17.5;12.5;19.8
1495;12.5;15.7;16.1;17.0;23.5;21.5;;;25.3;17.6;16.8;11.8;
2867;9.7;15.6;15.2;17.3;24.7;27.3;34.0;30.6;26.8;19.2;15.8;10.0;20.5
2870;10.6;16.4;15.8;18.0;25.5;26.7;33.8;30.5;26.8;19.2;16.2;10.6;20.8
C929I;21.3;22.6;21.1;23.1;23.8;25.2;25.3;26.0;26.4;25.7;24.4;21.6;23.9
C430E;8.8;11.4;9.5;10.8;16.8;18.2;25.1;23.0;20.9;15.7;11.5;7.8;15.0
C139E;21.1;23.3;21.3;22.7;23.5;25.5;25.4;26.9;26.9;25.7;;21.6;
C449C;21.6;23.8;22.3;24.2;25.9;27.1;30.7;30.3;28.5;26.3;25.2;22.6;25.7
C447A;17.5;21.3;18.8;;22.5;22.9;25.6;27.2;27.2;22.6;21.2;17.3;
C429I;22.4;25.4;23.3;23.9;25.8;27.4;28.9;30.0;29.1;27.5;;22.6;
2465;9.6;14.7;13.6;15.7;22.6;25.1;31.9;28.8;24.2;16.6;14.7;8.2;18.8
5796;16.0;21.1;20.6;21.7;28.9;30.8;38.0;35.9;32.7;26.3;22.8;16.7;26.0
5783;16.0;21.9;21.7;22.6;29.9;;;36.6;32.6;26.4;21.7;16.2;
2030;9.9;15.4;13.4;15.5;22.7;24.2;31.2;29.2;23.9;16.2;14.5;7.5;18.6
0016A;15.1;18.5;17.5;19.6;25.2;26.8;31.7;32.0;27.8;22.9;19.3;14.8;22.6
9981A;15.3;21.1;19.0;21.6;27.8;28.9;34.4;34.6;30.9;24.7;20.2;15.5;24.5
9381I;10.4;16.6;14.5;17.4;23.8;25.6;31.5;30.8;25.1;18.5;15.3;9.8;19.9
8368U;11.8;18.2;15.3;18.5;24.8;28.3;34.1;33.2;26.7;20.1;16.5;11.1;21.6
3260B;12.4;17.0;17.8;19.8;27.7;31.0;38.0;34.7;29.3;21.9;16.9;12.2;23.2
8416;16.6;20.9;18.5;20.4;25.6;27.1;29.8;30.8;28.3;24.7;20.4;18.0;23.4
8414A;16.4;22.0;18.6;20.7;26.6;29.0;31.3;32.3;29.1;24.8;20.2;17.4;24.0
2422;7.8;15.4;15.8;18.2;24.9;27.1;33.8;30.6;26.3;18.7;15.0;9.4;20.3
2539;7.6;14.0;14.2;16.2;23.0;25.1;32.0;29.2;25.1;17.3;14.3;;
2614;7.9;15.3;16.1;17.9;26.2;27.3;34.5;30.9;27.3;18.9;13.8;;
9390;10.6;17.0;15.1;17.9;24.2;26.3;31.8;31.9;25.8;19.1;15.9;10.1;20.5
9434;10.0;17.4;16.6;20.7;26.7;28.6;33.7;32.8;28.0;20.7;15.9;11.5;21.9
