Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;3.6;4.5;7.7;7.5;8.5;8.8;;;;;;;
1428;3.1;3.7;7.1;6.7;7.8;7.7;6.6;8.1;6.2;5.1;5.8;3.5;6.0
8175;4.8;5.9;7.1;6.3;9.9;10.2;12.2;9.8;8.1;;6.0;5.1;
8178D;;;;;;;12.7;;;;;;
8025;6.7;7.3;8.1;7.1;10.8;11.1;12.4;10.4;9.4;7.9;6.5;5.8;8.6
8019;6.6;7.0;7.8;7.1;10.6;11.1;12.4;10.1;8.8;7.5;6.4;5.7;8.4
6325O;6.5;7.6;7.0;7.5;9.9;11.0;11.7;9.7;9.1;8.2;7.8;6.0;8.5
9091O;2.5;3.9;5.2;5.4;7.1;6.9;7.7;7.8;5.2;5.7;2.5;3.0;5.2
1212E;4.0;3.4;;;7.2;4.6;5.3;6.0;4.8;6.4;3.2;3.6;
1249I;3.9;3.8;5.5;5.8;6.2;4.2;4.9;5.7;4.5;6.4;3.9;4.2;4.9
2444;4.6;5.3;7.5;6.1;8.9;10.5;12.1;11.3;7.4;7.7;4.4;4.1;7.5
4452;3.4;4.8;9.0;7.3;11.4;11.5;13.1;12.0;8.6;8.1;5.9;4.2;8.3
B954;5.9;6.4;6.3;6.1;9.7;9.7;11.1;9.3;7.5;6.1;3.3;5.1;7.2
B893;5.0;5.5;7.5;7.5;9.6;10.9;11.6;10.1;6.7;7.0;2.8;4.6;7.4
B278;4.8;5.7;7.0;6.8;9.2;9.7;11.7;9.1;6.8;6.2;3.0;4.6;7.1
B228;5.1;5.6;6.8;6.8;9.3;9.9;11.7;9.5;7.5;6.4;3.3;5.0;7.2
0200E;5.7;5.3;6.3;6.0;8.8;9.7;10.9;8.6;5.9;6.3;5.2;6.5;7.1
0076;3.5;4.1;;;8.0;8.9;9.9;7.3;;6.0;3.4;3.7;
1082;1.4;2.4;4.6;4.9;5.5;4.7;5.1;6.0;5.6;5.8;2.1;3.6;4.3
2331;2.6;3.7;6.8;6.0;7.8;9.4;11.0;11.1;6.3;6.7;3.2;3.7;6.5
3469A;5.1;5.4;8.9;7.4;11.1;11.5;13.1;12.4;8.7;8.3;7.3;4.9;8.7
5960;;;;;;;12.7;;;8.6;7.1;;
