Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;8.1;8.7;9.5;10.1;13.7;15.2;16.7;17.0;16.4;15.4;12.1;10.7;12.8
1387E;4.0;5.1;;7.2;11.1;13.6;15.3;16.0;13.6;13.6;9.6;8.1;
1428;3.3;4.3;5.2;5.8;10.1;12.0;14.8;15.0;12.5;12.2;7.9;7.1;9.2
8175;-2.1;1.9;5.7;5.0;10.8;16.1;19.0;18.0;14.3;11.8;5.9;5.0;9.3
8178D;-0.7;3.2;6.3;5.8;12.0;17.4;19.9;18.9;15.7;12.6;7.2;6.0;10.4
8025;5.0;7.9;10.5;11.3;15.5;19.8;22.4;22.9;20.2;16.3;12.5;9.9;14.5
8019;5.5;7.3;10.0;10.4;14.8;19.0;22.5;22.6;20.0;16.7;12.2;9.7;14.2
6325O;9.0;9.7;11.9;12.1;16.9;19.5;23.6;24.2;20.3;18.8;13.8;11.4;15.9
9091O;-0.8;0.2;4.3;4.2;8.8;12.2;12.6;14.5;9.5;10.5;4.5;5.1;7.1
1212E;5.7;6.6;7.3;;;14.2;16.1;16.8;;13.4;9.6;;
1208H;7.8;8.4;9.3;9.7;14.0;16.0;18.4;18.9;16.5;15.6;11.2;10.2;13.0
1249I;4.0;5.2;6.8;6.7;11.5;13.6;16.5;16.7;13.8;13.8;8.2;7.5;10.4
2444;-1.2;0.3;3.0;3.1;9.7;13.2;17.1;16.5;10.8;10.7;4.0;3.8;7.6
4452;1.8;3.6;7.7;8.3;14.2;16.3;19.7;18.3;16.4;14.1;9.3;8.7;11.5
B954;5.5;6.9;11.2;10.8;14.4;19.3;21.9;22.9;;;13.4;10.7;
B893;5.0;5.8;9.0;9.7;14.9;19.8;21.0;22.7;21.7;17.0;12.7;10.1;14.1
B278;2.7;3.8;8.8;8.8;13.2;18.6;20.5;21.1;19.0;15.1;11.4;9.0;12.7
B228;7.4;9.2;11.6;12.0;17.2;21.9;24.3;25.0;;19.4;15.1;12.3;
0200E;6.3;7.5;8.3;9.9;15.8;19.5;21.9;21.8;18.1;17.0;11.2;9.4;13.9
0076;4.5;7.6;10.0;;;21.3;23.4;23.1;20.2;17.4;12.1;8.5;
1082;3.9;4.1;8.7;8.1;12.6;15.2;16.6;18.1;14.5;15.8;9.2;8.6;11.3
2331;-3.2;-1.9;2.2;2.2;7.4;10.4;12.6;13.7;9.2;8.8;3.1;4.3;5.7
3469A;2.6;4.9;7.3;7.6;13.9;17.0;21.6;20.3;16.3;15.0;9.2;8.8;12.0
5973;11.0;12.1;12.5;13.7;18.3;20.6;23.7;22.6;20.6;19.7;15.4;14.1;17.0
5960;4.0;5.0;;;13.4;;18.9;18.5;15.6;15.4;10.1;10.3;
5910;6.2;8.0;10.1;11.0;15.8;18.7;21.9;20.3;17.9;17.1;11.9;11.5;14.2
6001;11.1;11.4;10.8;11.7;;17.7;20.8;20.9;;17.9;13.8;13.1;
1111;7.3;8.2;9.8;9.6;13.6;15.5;17.5;18.6;16.1;16.7;11.5;10.2;12.9
1109;4.5;6.2;8.9;9.1;13.5;16.2;17.7;18.8;15.8;16.6;10.2;8.8;12.2
8500A;5.3;8.2;10.2;11.4;15.4;20.4;22.8;23.4;20.4;17.3;12.4;9.9;14.8
5000C;12.2;13.0;;13.5;17.1;19.8;22.1;22.1;20.8;18.5;15.8;14.4;
