Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;71;76;72;75;76;77;74;79;74;78;74;78;75
1387E;74;76;;74;74;77;71;;75;81;79;82;
1428;75;;76;76;73;82;68;73;80;89;89;91;
8175;68;61;78;66;45;31;35;41;51;63;71;83;58
8178D;66;60;77;65;;43;43;48;55;60;67;78;
8025;66;64;74;60;;54;53;54;59;69;60;73;
8019;67;69;78;65;;;55;56;;75;64;75;
6325O;65;64;70;69;62;;59;56;66;66;;78;
9091O;81;77;73;74;68;68;62;64;66;67;81;82;72
1212E;;77;78;;;82;;85;;78;72;;
1208H;75;76;78;77;82;81;81;83;;78;;76;
1249I;77;74;73;75;77;79;75;80;74;72;72;78;76
2444;66;63;76;64;47;40;28;33;56;60;76;82;58
4452;74;66;72;60;42;44;32;41;55;61;82;87;60
B954;75;75;80;72;73;68;64;;;;74;84;
B893;78;76;82;71;65;62;53;59;68;81;77;85;71
B278;;72;78;63;;61;54;58;;;73;83;
B228;71;67;76;61;;68;62;;;73;71;80;
0200E;57;64;80;62;55;;56;59;69;74;66;69;
0076;67;69;73;;;65;;64;;76;;;
1082;74;75;65;;70;;67;73;68;65;71;;
2331;76;73;81;72;63;50;46;51;56;63;83;88;67
3469A;72;66;71;60;43;39;25;32;51;54;81;86;57
5973;72;70;77;72;62;65;60;73;77;75;80;84;72
5960;71;65;;;;;43;;;62;76;;
5910;72;66;75;68;55;58;51;66;71;70;77;84;68
6001;79;79;84;78;;;79;79;;81;85;87;
1111;75;78;73;77;83;84;80;84;74;71;75;75;77
1109;78;75;68;71;74;;70;76;71;;77;73;
8500A;59;61;74;56;57;59;56;55;62;74;61;72;62
5000C;73;72;;;68;61;75;73;;86;75;82;
4121;69;59;73;59;39;31;24;33;43;52;68;83;53
5402;;;71;64;;35;27;37;;53;74;85;
8096;56;52;67;54;36;28;27;;45;;71;82;
1014;78;76;66;71;73;76;68;75;71;65;75;72;72
1024E;76;77;67;76;;85;77;82;78;69;74;72;
0367;;;81;;58;;;58;;;;82;
5530E;69;61;73;;42;34;32;35;46;48;68;77;
5514;64;55;68;58;38;31;28;33;42;46;61;;
3013;63;59;75;62;52;40;38;44;55;60;75;82;59
4642E;65;62;72;63;55;50;43;58;63;70;76;87;64
9898;70;67;71;62;46;40;40;40;54;62;77;89;60
5270B;56;51;68;59;38;32;25;33;45;;63;70;
9170;73;65;73;63;52;;45;51;53;62;78;87;
C249I;65;66;64;;;67;68;71;73;75;;71;
C649I;;57;;61;64;63;63;67;;70;67;;
C029O;59;58;62;59;;61;;64;;66;66;;
2661;67;;73;;49;50;34;;;;81;;
1549;72;;66;56;48;55;43;49;59;67;79;86;
9771C;78;70;72;62;;42;47;49;58;67;72;90;
1505;82;78;76;72;73;77;72;;74;78;84;87;
3191E;;57;74;59;47;37;30;38;54;67;79;91;
3129;67;60;;58;41;31;25;31;46;61;;87;
3196;63;60;71;;46;37;29;35;50;62;74;87;
3200;65;59;70;58;39;34;25;32;45;58;79;87;54
3195;59;54;;57;43;35;;33;48;59;;88;
3175;;62;71;59;;31;26;32;45;59;74;86;
2462;63;65;91;78;56;48;29;38;65;70;85;88;65
6155A;67;62;72;;54;46;58;;53;70;66;78;
6000A;71;73;77;69;;60;72;72;62;80;73;73;
7178I;62;57;74;60;;41;44;46;51;70;;68;
7228;67;62;75;60;52;41;45;46;50;70;62;70;58
9263D;75;;70;68;55;;49;54;;61;79;;
1690A;75;69;66;61;56;65;50;52;;;;83;
1484C;71;72;71;72;;78;63;;75;83;;86;
1495;;75;72;;69;;63;;77;86;88;;
2867;71;66;73;;51;48;41;46;;;;;
2870;68;65;71;62;53;;;51;60;64;79;83;
C929I;65;70;67;;71;72;74;;77;75;75;70;
C430E;;;;;;;;;61;45;32;55;
C139E;64;68;;66;70;;74;;78;;72;;
C449C;60;58;61;59;60;56;52;57;67;65;65;66;61
C447A;71;72;84;;73;;;73;84;;79;79;
C429I;56;;60;61;64;;;65;71;;;;
2465;61;58;70;61;46;38;26;31;50;50;75;76;54
5796;63;59;68;62;50;47;42;54;57;55;67;;
5783;65;60;71;62;;40;;46;52;57;70;;
2030;59;61;78;62;51;42;36;43;;63;79;87;
0016A;64;63;70;60;58;58;;;66;78;67;75;
9981A;60;60;79;61;58;57;54;55;62;76;;;
9381I;65;62;76;62;52;38;41;44;;59;73;79;
8368U;60;57;73;61;48;36;41;44;;62;;76;
3260B;;;;60;42;31;24;29;43;52;71;84;
8414A;62;64;76;59;57;54;;54;58;72;60;69;
2422;70;;72;62;50;42;34;38;49;62;81;88;
2539;71;68;75;;56;44;35;41;53;64;;88;
2614;74;67;71;59;48;44;35;41;54;64;;87;
9390;66;61;74;61;50;38;38;42;51;53;71;77;57
9434;;;;;;;39;;;63;;82;
