Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;11;12;;;;13;;12;12;12;14;13;
1387E;11;11;14;14;12;13;13;12;12;14;14;14;13
1428;7;9;11;12;11;10;9;11;10;13;11;13;11
8175;11;10;17;15;15;14;15;15;11;10;15;11;13
8178D;3;2;6;4;;5;2;2;2;;3;2;
8025;6;7;11;9;8;8;8;8;8;6;7;5;8
8019;13;12;18;16;12;12;12;13;14;10;13;9;13
6325O;17;15;20;17;;;15;17;13;14;15;15;
9091O;9;9;14;14;13;13;14;13;13;12;12;13;12
1212E;14;12;12;13;;11;12;10;13;9;15;;
1249I;7;8;8;4;7;7;8;8;7;7;9;7;7
2444;8;8;11;11;11;10;10;10;9;9;10;10;10
4452;8;7;12;12;10;11;10;9;9;7;7;8;9
B954;12;11;20;17;14;12;13;12;;;17;13;
B893;15;16;21;20;19;17;17;14;15;12;17;13;16
B278;9;12;18;18;15;16;17;15;15;11;15;11;14
B228;5;6;12;10;9;8;9;8;8;6;7;5;8
0200E;15;15;19;15;12;11;12;14;13;12;14;13;14
0076;14;14;22;;;16;15;16;16;14;15;13;
1082;;10;16;14;12;11;12;11;11;12;12;12;
2331;13;14;19;18;17;17;21;18;15;17;15;16;17
3469A;7;7;12;12;10;11;9;10;10;9;10;11;10
5973;20;18;18;17;19;18;20;14;14;15;12;13;17
5960;11;10;13;14;13;13;11;12;14;11;10;12;12
5910;15;14;16;17;17;19;18;15;16;12;12;14;15
6001;;;21;21;;;;18;17;23;15;19;
1111;14;;15;15;;;12;14;;15;18;16;
8500A;7;7;;;8;8;8;9;8;7;8;6;
5000C;15;13;12;11;10;10;11;9;9;8;9;9;11
4121;6;5;11;10;8;9;8;7;8;6;7;6;8
5402;8;7;11;11;10;12;10;;11;8;7;9;
8096;5;5;8;8;7;8;8;7;7;6;6;5;7
1014;9;10;12;12;11;10;10;10;11;11;12;11;11
1024E;13;12;20;16;13;10;10;12;14;18;19;21;15
0367;;;12;13;13;14;;12;;9;8;8;
5530E;4;5;9;11;12;13;10;10;9;8;6;6;9
5514;9;9;10;12;14;;;;12;13;9;10;
3013;5;5;9;9;7;8;6;8;6;5;7;6;7
4642E;8;8;11;14;12;15;14;13;;11;10;10;
9898;6;8;10;9;9;11;9;9;8;10;8;7;9
5270B;9;8;11;10;9;12;10;9;10;8;9;9;10
9170;10;8;15;13;12;10;10;10;10;11;9;8;11
C249I;17;19;25;25;22;28;26;27;23;19;20;15;22
C649I;17;25;31;31;31;41;45;43;30;27;24;14;30
C029O;16;19;24;24;23;28;;31;23;19;18;13;
2661;9;;13;;12;12;11;;11;;;;
1549;4;4;7;7;7;8;8;7;6;5;5;4;6
9771C;7;8;10;10;9;9;9;9;8;6;8;5;8
1505;5;6;7;7;7;6;7;;7;8;8;8;
3191E;5;6;;;;;;;;;;;
3129;7;9;11;13;11;14;;11;12;9;12;8;
3196;6;7;11;12;10;14;11;10;10;8;12;9;10
3195;;;;10;8;8;;7;7;6;;6;
2462;14;12;16;14;12;13;12;12;12;16;16;17;14
6155A;17;16;15;16;15;16;13;15;14;11;15;11;15
6000A;12;12;12;13;11;12;12;11;12;9;11;8;11
7178I;7;8;10;10;10;11;11;10;9;7;7;6;9
9263D;10;12;15;17;16;;18;14;;15;9;9;
1690A;3;4;5;5;5;5;5;5;;;;5;
1484C;6;6;8;9;7;7;8;7;7;7;;8;
1495;;9;13;;13;;12;13;13;14;12;15;
2867;11;11;17;15;14;13;;10;11;12;15;14;
2870;5;5;9;7;7;8;6;6;7;6;7;7;7
C929I;23;25;27;26;22;29;29;27;22;21;21;18;24
C430E;29;32;;30;25;25;23;21;26;25;17;33;
C139E;17;21;23;19;18;;26;22;17;;16;;
C449C;10;11;13;12;10;12;10;11;11;9;10;;
C447A;16;19;26;;19;;;24;21;16;12;15;
C429I;19;22;21;22;23;25;24;26;23;19;23;;
2465;7;9;12;11;10;12;11;11;9;14;12;9;11
5796;7;5;7;8;7;8;7;7;7;;;9;
5783;13;9;13;12;11;13;12;13;13;10;11;11;12
2030;6;8;10;10;10;10;10;9;8;7;9;8;9
0016A;10;13;15;14;11;12;12;13;12;9;15;9;12
9981A;9;10;10;11;10;11;12;11;;7;;7;
9381I;6;7;11;11;9;11;10;10;8;8;9;7;9
8368U;5;6;7;8;7;9;7;7;;6;;6;
3260B;;8;12;12;12;14;12;11;11;9;12;8;
8414A;9;10;18;16;13;14;15;16;13;9;14;12;13
2422;5;5;7;7;7;8;6;6;6;5;7;5;6
2539;11;12;;15;;15;14;13;13;13;;14;
2614;5;6;9;8;8;8;8;7;7;5;6;6;7
9390;4;5;6;7;6;8;8;7;6;5;6;5;6
9434;15;17;16;20;18;16;16;15;15;10;14;10;15
